place_id,user_id,score,comment,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
신불산군립공원,Matthew Jang,5.0,울주 세계산악영화제가 열리고 있어요.,,,,
신불산군립공원,jaegook ha,4.0,울주산악영화제,,,,
신불산군립공원,남손종호,5.0,천부경성지순례지,,,,
신불산군립공원,JUNGMIN LEE,5.0,,,,,
신불산군립공원,조성우,5.0,,,,,
신불산군립공원,정종철,5.0,,,,,
신불산군립공원,SeungKi Shin,4.0,,,,,
신불산군립공원,이명란,5.0,,,,,
신불산군립공원,Dongeun Lee,5.0,,,,,
신불산군립공원,Matthew Jang,5.0,울주 세계산악영화제가 열리고 있어요.,,,,
신불산군립공원,jaegook ha,4.0,울주산악영화제,,,,
신불산군립공원,남손종호,5.0,천부경성지순례지,,,,
신불산군립공원,JUNGMIN LEE,5.0,,,,,
신불산군립공원,조성우,5.0,,,,,
신불산군립공원,정종철,5.0,,,,,
신불산군립공원,SeungKi Shin,4.0,,,,,
신불산군립공원,이명란,5.0,,,,,
신불산군립공원,Dongeun Lee,5.0,,,,,
신불산군립공원,더쌈 매니아/N s c,5.0,,0.0,0.0,0.0,0.0
